"envelope_ID","date","site_name","species","project_2025","project","age_class","burn_year_original","calluna_NiN_type","plant_nr","leaf_nr","leaf_age","sample","collection_time","paired_with","calluna_shoot_type","bulk_nr_leaves","wet_mass","leaf_thickness_1","leaf_thickness_2","leaf_thickness_3","stem_diameter_base","stem_diameter_mid","stem_diameter_tip","scanned","dry_mass","remark","calluna_NIN_type","unique_plantID","latitude_N","longitude_E","source_file","bulk_nr_leaf_area","leaf_area_sum","colltime","height_cm","bulk_nr_wet_mass","bulk_nr_thickness","bulk_nr_dry_mass","leaf_area","SLA","LDMC"
"AHW4791",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","3",1,"young","Bulk",14:43:00,"Hyd Trait",NA,5,0.0028,0.386,0.278,0.282,7.79,NA,NA,"yes",0.00124,NA,"FH","Mature_FH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.31,14:43:00,32,5,5,5,0.062,50,0.442857142857143
"AHV3134",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","3",2,"young","Bulk",14:43:00,"Hyd Trait",NA,5,0.00294,0.451,0.324,0.299,7.79,NA,NA,"yes",0.00128,NA,"FH","Mature_FH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.32,14:43:00,32,5,5,5,0.064,50,0.435374149659864
"AHU6941",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","3",3,"young","Bulk",14:43:00,"Hyd Trait",NA,5,0.00337,0.355,0.461,0.425,7.79,NA,NA,"yes",0.00155,NA,"FH","Mature_FH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.38,14:43:00,32,5,5,5,0.076,49.0322580645161,0.459940652818991
"AHT0657",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","3",4,"young","Bulk",14:43:00,"Hyd Trait",NA,5,0.00369,0.494,0.46,0.484,7.79,NA,NA,"yes",0.00161,NA,"FH","Mature_FH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.37,14:43:00,32,5,5,5,0.074,45.9627329192547,0.436314363143631
"AHS3120",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","3",5,"young","Bulk",14:43:00,"Hyd Trait",NA,5,0.00403,0.449,0.466,0.478,7.79,NA,NA,"yes",0.00173,NA,"FH","Mature_FH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.39,14:43:00,32,5,5,5,0.078,45.0867052023121,0.429280397022333
"AEA7611",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","4",1,"young","Bulk",14:46:00,"Hyd Trait",NA,5,0.00374,0.538,0.463,0.474,NA,NA,NA,"yes",0.00162,NA,"FH","Mature_FH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.37,14:46:00,49,5,5,5,0.074,45.679012345679,0.433155080213904
"ADZ4131",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","4",2,"young","Bulk",14:46:00,"Hyd Trait",NA,5,0.00371,0.406,0.502,0.444,NA,NA,NA,"yes",0.00154,NA,"FH","Mature_FH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.39,14:46:00,49,5,5,5,0.078,50.6493506493507,0.415094339622641
"AEB4051",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","4",3,"young","Bulk",14:46:00,"Hyd Trait",NA,5,0.00334,0.409,0.403,0.363,NA,NA,NA,"yes",0.00142,NA,"FH","Mature_FH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.34,14:46:00,49,5,5,5,0.068,47.887323943662,0.425149700598802
"AEC5055",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","4",4,"young","Bulk",14:46:00,"Hyd Trait",NA,5,0.00348,0.499,0.427,0.409,NA,NA,NA,"yes",0.00142,NA,"FH","Mature_FH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.41,14:46:00,49,5,5,5,0.082,57.7464788732394,0.408045977011494
"AED7578",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","4",5,"young","Bulk",14:46:00,"Hyd Trait",NA,5,0.00303,0.304,0.472,0.393,NA,NA,NA,"yes",0.00107,NA,"FH","Mature_FH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.3,14:46:00,49,5,5,5,0.06,56.0747663551402,0.353135313531353
"AHM1170",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","5",1,"young","Bulk",14:50:00,"Hyd Trait",NA,5,0.00268,0.317,0.423,0.34,NA,NA,NA,"yes",0.00096,NA,"FH","Mature_FH_5",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.31,14:50:00,39,5,5,5,0.062,64.5833333333333,0.358208955223881
"AHL0118",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","5",2,"young","Bulk",14:50:00,"Hyd Trait",NA,5,0.00379,0.468,0.417,0.504,NA,NA,NA,"yes",0.00156,"* symbol behind wet mass","FH","Mature_FH_5",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.41,14:50:00,39,5,5,5,0.082,52.5641025641026,0.411609498680739
"AHK0576",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","5",3,"young","Bulk",14:50:00,"Hyd Trait",NA,5,0.00376,0.525,0.48,0.431,NA,NA,NA,"yes",0.0015,NA,"FH","Mature_FH_5",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.36,14:50:00,39,5,5,5,0.072,48,0.398936170212766
"AHJ5329",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","5",4,"young","Bulk",14:50:00,"Hyd Trait",NA,5,0.00279,0.354,0.42,0.393,NA,NA,NA,"yes",0.00105,NA,"FH","Mature_FH_5",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.3,14:50:00,39,5,5,5,0.06,57.1428571428571,0.376344086021505
"AHI2543",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","5",5,"young","Bulk",14:50:00,"Hyd Trait",NA,5,0.00271,0.394,0.478,0.394,NA,NA,NA,"yes",0.00102,NA,"FH","Mature_FH_5",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.32,14:50:00,39,5,5,5,0.064,62.7450980392157,0.376383763837638
"AGS2795",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","6",1,"young","Bulk",14:55:00,"Hyd Trait",NA,5,0.00197,0.294,0.272,0.24,NA,NA,NA,"yes",0.00093,NA,"FH","Mature_FH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1.csv",5,0.22,14:55:00,44,5,5,5,0.044,47.3118279569892,0.472081218274112
"AGT1195",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","6",2,"young","Bulk",14:55:00,"Hyd Trait",NA,5,0.00274,0.238,0.227,0.233,NA,NA,NA,"yes",0.00119,NA,"FH","Mature_FH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1.csv",5,0.29,14:55:00,44,5,5,5,0.058,48.7394957983193,0.434306569343066
"AGU2562",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","6",3,"young","Bulk",14:55:00,"Hyd Trait",NA,5,0.00258,0.339,0.343,0.272,NA,NA,NA,"yes",0.00118,NA,"FH","Mature_FH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1.csv",5,0.29,14:55:00,44,5,5,5,0.058,49.1525423728814,0.457364341085271
"AGV1765",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","6",4,"young","Bulk",14:55:00,"Hyd Trait",NA,5,0.00247,0.281,0.352,0.332,NA,NA,NA,"yes",0.001146,"; dry mass error, updated","FH","Mature_FH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1.csv",5,0.29,14:55:00,44,5,5,5,0.058,50.6108202443281,0.463967611336032
"AGW4674",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","6",5,"young","Bulk",14:55:00,"Hyd Trait",NA,5,0.00242,0.212,0.261,0.221,NA,NA,NA,"yes",0.00114,NA,"FH","Mature_FH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1.csv",5,0.33,14:55:00,44,5,5,5,0.066,57.8947368421053,0.471074380165289
"AFW5102",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","7",1,"young","Bulk",15:00:00,"Hyd Trait",NA,5,0.00377,0.509,0.547,0.494,NA,NA,NA,"yes",0.00177,NA,"FH","Mature_FH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.4,15:00:00,46,5,5,5,0.08,45.1977401129943,0.469496021220159
"AFV5305",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","7",2,"young","Bulk",15:00:00,"Hyd Trait",NA,5,0.00434,0.34,0.532,0.39,NA,NA,NA,"yes",0.00189,NA,"FH","Mature_FH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.51,15:00:00,46,5,5,5,0.102,53.968253968254,0.435483870967742
