"envelope_ID","date","site_name","species","project_2025","project","age_class","burn_year_original","calluna_NiN_type","plant_nr","leaf_nr","leaf_age","sample","collection_time","paired_with","calluna_shoot_type","bulk_nr_leaves","wet_mass","leaf_thickness_1","leaf_thickness_2","leaf_thickness_3","stem_diameter_base","stem_diameter_mid","stem_diameter_tip","scanned","dry_mass","remark","calluna_NIN_type","unique_plantID","latitude_N","longitude_E","source_file","bulk_nr_leaf_area","leaf_area_sum","colltime","height_cm","bulk_nr_wet_mass","bulk_nr_thickness","bulk_nr_dry_mass","leaf_area","SLA","LDMC"
"AFU4651",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","7",3,"young","Bulk",15:00:00,"Hyd Trait",NA,5,0.00404,0.459,0.49,0.571,NA,NA,NA,"yes",0.00184,NA,"FH","Mature_FH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.49,15:00:00,46,5,5,5,0.098,53.2608695652174,0.455445544554455
"AFT2844",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","7",4,"young","Bulk",15:00:00,"Hyd Trait",NA,5,0.00304,0.378,0.409,0.357,NA,NA,NA,"yes",0.00147,NA,"FH","Mature_FH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.36,15:00:00,46,5,5,5,0.072,48.9795918367347,0.483552631578947
"AFS5163",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","7",5,"young","Bulk",15:00:00,"Hyd Trait",NA,5,0.00458,0.4,0.544,0.484,NA,NA,NA,"yes",0.0021,NA,"FH","Mature_FH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.52,15:00:00,46,5,5,5,0.104,49.5238095238095,0.458515283842795
"ALO5425",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","1",1,"young","Bulk",13:32:00,"Hyd Trait",NA,5,0.00449,0.358,0.537,0.487,7.16,NA,NA,"yes",0.00202,"leaves sampled from new on old short shoot","TH","Mature_TH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.53,13:32:00,18,5,5,5,0.106,52.4752475247525,0.44988864142539
"ALP5518",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","1",2,"young","Bulk",13:32:00,"Hyd Trait",NA,5,0.0046,0.428,0.431,0.444,7.16,NA,NA,"yes",0.00182,"leaves sampled from new on old short shoot","TH","Mature_TH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.47,13:32:00,18,5,5,5,0.094,51.6483516483516,0.395652173913043
"ALQ7610",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","1",3,"young","Bulk",13:32:00,"Hyd Trait",NA,5,0.00517,0.421,0.264,0.406,7.16,NA,NA,"yes",0.00182,"leaves sampled from new on old short shoot","TH","Mature_TH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.47,13:32:00,18,5,5,5,0.094,51.6483516483516,0.352030947775629
"ALR2260",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","1",4,"young","Bulk",13:32:00,"Hyd Trait",NA,5,0.00494,0.587,0.482,0.362,7.16,NA,NA,"yes",0.00221,"leaves sampled from new on old short shoot","TH","Mature_TH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.41,13:32:00,18,5,5,5,0.082,37.10407239819,0.447368421052632
"ALS6326",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","1",5,"young","Bulk",13:32:00,"Hyd Trait",NA,5,0.00393,0.364,0.349,0.481,7.16,NA,NA,"yes",0.00176,"leaves sampled from new on old short shoot","TH","Mature_TH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.4,13:32:00,18,5,5,5,0.08,45.4545454545455,0.447837150127226
"ALJ6353",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","2",1,"young","Bulk",13:36:00,"Hyd Trait",NA,5,0.00491,0.535,0.513,0.408,2.92,NA,NA,"yes",0.00208,"leaves are sampled from new on short shoot","TH","Mature_TH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.43,13:36:00,11,5,5,5,0.086,41.3461538461538,0.423625254582485
"ALK1774",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","2",2,"young","Bulk",13:36:00,"Hyd Trait",NA,5,0.0041,0.368,0.382,0.416,2.92,NA,NA,"yes",0.00177,"leaves are sampled from new on short shoot","TH","Mature_TH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.48,13:36:00,11,5,5,5,0.096,54.2372881355932,0.431707317073171
"ALL9208",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","2",3,"young","Bulk",13:36:00,"Hyd Trait",NA,5,0.00508,0.468,0.438,NA,2.92,NA,NA,"no",0.0022,"leaves sampled from new on old short shoot","TH","Mature_TH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.59,13:36:00,11,5,5,5,0.118,53.6363636363636,0.433070866141732
"ALM9190",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","2",4,"young","Bulk",13:36:00,"Hyd Trait",NA,5,0.0045,0.468,0.458,0.421,2.92,NA,NA,"yes",0.00173,"leaves sampled from new on old short shoot","TH","Mature_TH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.46,13:36:00,11,5,5,5,0.092,53.1791907514451,0.384444444444444
"ALN2133",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","2",5,"young","Bulk",13:36:00,"Hyd Trait",NA,5,0.00452,0.453,0.282,0.442,2.92,NA,NA,"yes",0.00167,"leaves sampled from new on old short shoot","TH","Mature_TH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.47,13:36:00,11,5,5,5,0.094,56.2874251497006,0.369469026548673
"ALY4835",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","3",1,"young","Bulk",13:38:00,"Hyd Trait",NA,5,0.00329,0.409,0.357,0.438,10.23,NA,NA,"yes",0.0013,"most leaves down mid-level; lots of leafless reproductive shoots","TH","Mature_TH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.36,13:38:00,20,5,5,5,0.072,55.3846153846154,0.395136778115502
"ALZ0919",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","3",2,"young","Bulk",13:38:00,"Hyd Trait",NA,5,0.00299,0.445,0.434,0.484,10.23,NA,NA,"yes",0.00112,"most leaves down mid-level; lots of leafless reproductive shoots","TH","Mature_TH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.35,13:38:00,20,5,5,5,0.07,62.5,0.374581939799331
"AMD1977",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","3",3,"young","Bulk",13:38:00,"Hyd Trait",NA,4,0.00314,0.515,0.449,0.353,10.23,NA,NA,"yes",0.00115,"most leaves down mid-level; lots of leafless reproductive shoots; 5 leaves at data entry","TH","Mature_TH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",4,0.26,13:38:00,20,4,4,4,0.065,56.5217391304348,0.36624203821656
"AMC5015",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","3",4,"young","Bulk",13:38:00,"Hyd Trait",NA,5,0.00303,0.509,0.492,0.374,10.23,NA,NA,"yes",0.00113,"most leaves down mid-level; lots of leafless reproductive shoots","TH","Mature_TH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.33,13:38:00,20,5,5,5,0.066,58.4070796460177,0.372937293729373
"AMA2911",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","3",5,"young","Bulk",13:38:00,"Hyd Trait",NA,5,0.00341,0.478,0.273,0.466,10.23,NA,NA,"yes",0.00134,"most leaves down mid-level; lots of leafless reproductive shoots","TH","Mature_TH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.35,13:38:00,20,5,5,5,0.07,52.2388059701493,0.392961876832845
"ALE4709",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","4",1,"young","Bulk",13:44:00,"Hyd Trait",NA,5,0.00345,0.378,0.32,0.378,NA,NA,NA,"yes",0.00149,"longer shoots only available","TH","Mature_TH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.46,13:44:00,26,5,5,5,0.092,61.744966442953,0.431884057971014
"ALF5461",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","4",2,"young","Bulk",13:44:00,"Hyd Trait",NA,5,0.00365,0.392,0.429,0.369,NA,NA,NA,"yes",0.0015,"longer shoots only available","TH","Mature_TH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.45,13:44:00,26,5,5,5,0.09,60,0.410958904109589
"ALG1782",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","4",3,"young","Bulk",13:44:00,"Hyd Trait",NA,5,0.00284,0.35,0.368,0.396,NA,NA,NA,"yes",0.00127,"longer shoots only available","TH","Mature_TH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.4,13:44:00,26,5,5,5,0.08,62.992125984252,0.447183098591549
"ALH8479",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","4",4,"young","Bulk",13:44:00,"Hyd Trait",NA,5,0.00408,0.535,0.449,0.427,NA,NA,NA,"yes",0.00165,"longer shoots only available","TH","Mature_TH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.49,13:44:00,26,5,5,5,0.098,59.3939393939394,0.404411764705882
"ALI4627",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","4",5,"young","Bulk",13:44:00,"Hyd Trait",NA,5,0.00358,0.445,0.442,0.352,NA,NA,NA,"yes",0.00142,"longer shoots only available","TH","Mature_TH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.41,13:44:00,26,5,5,5,0.082,57.7464788732394,0.396648044692737
"AKU4270",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","5",1,"young","Bulk",13:46:00,"Hyd Trait",NA,5,0.00373,0.331,0.426,0.446,NA,NA,NA,"yes",0.00141,NA,"TH","Mature_TH_5",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.41,13:46:00,26,5,5,5,0.082,58.1560283687943,0.378016085790885
"AKV5268",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","5",2,"young","Bulk",13:46:00,"Hyd Trait",NA,5,0.0038,0.467,0.405,0.345,NA,NA,NA,"yes",0.00129,NA,"TH","Mature_TH_5",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.41,13:46:00,26,5,5,5,0.082,63.5658914728682,0.339473684210526
"AKW0479",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","5",3,"young","Bulk",13:46:00,"Hyd Trait",NA,5,0.00439,0.496,0.421,0.477,NA,NA,NA,"yes",0.00158,NA,"TH","Mature_TH_5",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.45,13:46:00,26,5,5,5,0.09,56.9620253164557,0.359908883826879
"AKX7743",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","5",4,"young","Bulk",13:46:00,"Hyd Trait",NA,5,0.00376,0.422,0.459,0.498,NA,NA,NA,"yes",0.00138,NA,"TH","Mature_TH_5",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.36,13:46:00,26,5,5,5,0.072,52.1739130434783,0.367021276595745
"AKY4269",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","5",5,"young","Bulk",13:46:00,"Hyd Trait",NA,5,0.00436,0.528,0.467,0.52,NA,NA,NA,"yes",0.00148,NA,"TH","Mature_TH_5",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.53,13:46:00,26,5,5,5,0.106,71.6216216216216,0.339449541284404
"ANW2146",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","6",1,"young","Bulk",13:47:00,"Hyd Trait",NA,5,0.00361,0.335,0.496,0.374,NA,NA,NA,"yes",0.00155,"leaves from mid-level; mostly brown at top","TH","Mature_TH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.41,13:47:00,20,5,5,5,0.082,52.9032258064516,0.429362880886427
"ANX0417",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","6",2,"young","Bulk",13:47:00,"Hyd Trait",NA,5,0.00329,0.382,0.379,0.426,NA,NA,NA,"yes",0.00136,"leaves from mid-level; mostly brown at top","TH","Mature_TH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.39,13:47:00,20,5,5,5,0.078,57.3529411764706,0.413373860182371
"ANY3979",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","6",3,"young","Bulk",13:47:00,"Hyd Trait",NA,5,0.00322,0.464,0.408,0.496,NA,NA,NA,"yes",0.00126,"leaves from mid-level; mostly brown at top","TH","Mature_TH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.33,13:47:00,20,5,5,5,0.066,52.3809523809524,0.391304347826087
"ANZ7855",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","6",4,"young","Bulk",13:47:00,"Hyd Trait",NA,5,0.00307,0.405,0.433,0.492,NA,NA,NA,"yes",0.00125,"leaves from mid-level; mostly brown at top","TH","Mature_TH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.33,13:47:00,20,5,5,5,0.066,52.8,0.407166123778502
"AOA5929",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","6",5,"young","Bulk",13:47:00,"Hyd Trait",NA,5,0.00323,0.383,0.475,0.261,NA,NA,NA,"yes",0.00135,"leaves from mid-level; mostly brown at top","TH","Mature_TH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.35,13:47:00,20,5,5,5,0.07,51.8518518518519,0.417956656346749
"ANR5076",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","7",1,"young","Bulk",13:51:00,"Hyd Trait",NA,5,0.00483,0.465,0.521,0.578,NA,NA,NA,"yes",0.00204,NA,"TH","Mature_TH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.5,13:51:00,23,5,5,5,0.1,49.0196078431373,0.422360248447205
"ANS0610",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","7",2,"young","Bulk",13:51:00,"Hyd Trait",NA,5,0.00395,0.497,0.44,0.494,NA,NA,NA,"yes",0.00167,NA,"TH","Mature_TH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.38,13:51:00,23,5,5,5,0.076,45.5089820359281,0.422784810126582
"ANT3490",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","7",3,"young","Bulk",13:51:00,"Hyd Trait",NA,5,0.0042,0.484,0.429,0.471,NA,NA,NA,"yes",0.00186,NA,"TH","Mature_TH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.5,13:51:00,23,5,5,5,0.1,53.7634408602151,0.442857142857143
"ANU2647",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","7",4,"young","Bulk",13:51:00,"Hyd Trait",NA,5,0.00428,0.473,0.6,0.407,NA,NA,NA,"yes",0.00186,NA,"TH","Mature_TH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.4,13:51:00,23,5,5,5,0.08,43.010752688172,0.434579439252336
"ANV0357",2025-12-18,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","TH","7",5,"young","Bulk",13:51:00,"Hyd Trait",NA,5,0.00398,0.561,0.484,0.476,NA,NA,NA,"yes",0.00175,NA,"TH","Mature_TH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.38,13:51:00,23,5,5,5,0.076,43.4285714285714,0.439698492462312
"ACB2306",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","1",1,"young","Bulk",11:31:00,"Hyd Trait",NA,5,0.00357,0.479,0.352,0.368,8.38,NA,NA,"yes",0.00133,NA,"BH","Building_BH_1",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.4,11:31:00,22,5,5,5,0.08,60.1503759398496,0.372549019607843
"ACC9116",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","1",2,"young","Bulk",11:31:00,"Hyd Trait",NA,5,0.00395,0.502,0.374,0.459,8.38,NA,NA,"yes",0.00144,NA,"BH","Building_BH_1",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.46,11:31:00,22,5,5,5,0.092,63.8888888888889,0.364556962025316
"ACD6281",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","1",3,"young","Bulk",11:31:00,"Hyd Trait",NA,5,0.00248,0.406,0.39,0.302,8.38,NA,NA,"yes",0.00088,"4 leaves at scanning","BH","Building_BH_1",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.3,11:31:00,22,5,5,5,0.06,68.1818181818182,0.354838709677419
"ACE6166",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","1",4,"young","Bulk",11:31:00,"Hyd Trait",NA,5,0.00421,0.373,0.48,0.482,8.38,NA,NA,"yes",0.00149,NA,"BH","Building_BH_1",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.47,11:31:00,22,5,5,5,0.094,63.0872483221477,0.353919239904988
"ACF0339",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","1",5,"young","Bulk",11:31:00,"Hyd Trait",NA,4,0.00444,0.488,0.448,0.434,8.38,NA,NA,"yes",0.0018,"4 leaves at data cleaning","BH","Building_BH_1",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",4,0.41,11:31:00,22,4,4,4,0.102,56.6666666666667,0.405405405405405
"ACG3403",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","2",1,"young","Bulk",11:43:00,"Hyd Trait",NA,5,0.0045,0.478,0.479,0.535,14.01,NA,NA,"yes",0.00142,NA,"BH","Building_BH_2",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.39,11:43:00,31,5,5,5,0.078,54.9295774647887,0.315555555555556
"ACH0524",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","2",2,"young","Bulk",11:43:00,"Hyd Trait",NA,5,0.00312,0.355,0.494,0.381,14.01,NA,NA,"yes",0.00114,NA,"BH","Building_BH_2",60.700705,5.093018,NA,5,NA,11:43:00,31,5,5,5,NA,NA,0.365384615384615
"ACI2672",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","2",3,"young","Bulk",11:43:00,"Hyd Trait",NA,3,0.00722,0.377,0.531,0.504,14.01,NA,NA,"yes",0.00209,"4 leaves at data cleaning","BH","Building_BH_2",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",3,0.37,11:43:00,31,3,3,3,0.123,58.8516746411483,0.289473684210526
"ACJ2997",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","2",4,"young","Bulk",11:43:00,"Hyd Trait",NA,5,0.00388,0.32,0.425,0.375,14.01,NA,NA,"yes",0.00124,NA,"BH","Building_BH_2",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.39,11:43:00,31,5,5,5,0.078,62.9032258064516,0.319587628865979
"ACK6912",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","2",5,"young","Bulk",11:43:00,"Hyd Trait",NA,5,0.00387,0.378,0.398,0.393,14.01,NA,NA,"yes",0.00126,NA,"BH","Building_BH_2",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.43,11:43:00,31,5,5,5,0.086,68.2539682539682,0.325581395348837
"ACV7531",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","3",1,"young","Bulk",11:49:00,"Hyd Trait",NA,5,0.00447,0.628,0.7,0.679,6.71,NA,NA,"yes",0.00151,"leaf thickness by es","BH","Building_BH_3",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.4,11:49:00,23,5,5,5,0.08,52.9801324503311,0.337807606263982
"ACW1212",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","3",2,"young","Bulk",11:49:00,"Hyd Trait",NA,5,0.00459,0.694,0.671,0.692,6.71,NA,NA,"yes",0.00185,"leaf thickness by es; one leaf got split during weighing","BH","Building_BH_3",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.52,11:49:00,23,5,5,5,0.104,56.2162162162162,0.403050108932462
"ACX8679",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","3",3,"young","Bulk",11:49:00,"Hyd Trait",NA,5,0.00387,0.572,0.688,0.598,6.71,NA,NA,"yes",0.00164,"leaf thickness by es","BH","Building_BH_3",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.44,11:49:00,23,5,5,5,0.088,53.6585365853659,0.423772609819121
"ACY4334",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","3",4,"young","Bulk",11:49:00,"Hyd Trait",NA,5,0.00435,0.636,0.654,0.763,6.71,NA,NA,"yes",0.00175,"leaf thickness by es","BH","Building_BH_3",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.52,11:49:00,23,5,5,5,0.104,59.4285714285714,0.402298850574713
"ACZ0597",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","3",5,"young","Bulk",11:49:00,"Hyd Trait",NA,5,0.00372,0.708,0.678,0.663,6.71,NA,NA,"yes",0.00165,"leaf thickness by es","BH","Building_BH_3",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.42,11:49:00,23,5,5,5,0.084,50.9090909090909,0.443548387096774
"AHR3503",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","4",1,"young","Bulk",11:55:00,"Hyd Trait",NA,5,0.00466,0.5512,0.69,0.571,NA,NA,NA,"yes",0.00172,NA,"BH","Building_BH_4",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.41,11:55:00,29,5,5,5,0.082,47.6744186046512,0.369098712446352
"AHQ0180",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","4",2,"young","Bulk",11:55:00,"Hyd Trait",NA,5,0.00497,0.663,0.469,0.55,NA,NA,NA,"yes",0.00211,NA,"BH","Building_BH_4",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.43,11:55:00,29,5,5,5,0.086,40.7582938388626,0.424547283702213
"AHP0080",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","4",3,"young","Bulk",11:55:00,"Hyd Trait",NA,5,0.00356,0.587,0.478,0.5,NA,NA,NA,"yes",0.0015,NA,"BH","Building_BH_4",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.39,11:55:00,29,5,5,5,0.078,52,0.421348314606742
"AHO3573",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","4",4,"young","Bulk",11:55:00,"Hyd Trait",NA,5,0.00416,0.525,0.537,0.461,NA,NA,NA,"yes",0.00165,NA,"BH","Building_BH_4",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.38,11:55:00,29,5,5,5,0.076,46.0606060606061,0.396634615384615
"AHN5830",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","4",5,"young","Bulk",11:55:00,"Hyd Trait",NA,5,0.00384,0.462,0.58,0.486,NA,NA,NA,"yes",0.00167,NA,"BH","Building_BH_4",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.34,11:55:00,29,5,5,5,0.068,40.7185628742515,0.434895833333333
"AHC6643",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Building","2010","BH","5",1,"young","Bulk",13:14:00,"Hyd Trait",NA,5,0.00306,0.381,0.317,0.421,NA,NA,NA,"yes",0.00113,"check scans/ barcodes?? mature/ building; check for envelopes sharing plant (ahh4009), age_class and nin identities;  _a","BH","Building_BH_5",60.700705,5.093018,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.38,13:14:00,41,5,5,5,0.076,67.2566371681416,0.369281045751634
